max_f,theta_idx,theta,eps_target,eps_pre,success,achieved_frob,f_level,N_D,method,wall,timed_out
1,0,0.007853981633974483,0.5,0.25,True,0.11177939864732409,4,20,zeta9-householder,17.029064416885376,False
1,1,0.02356194490192345,0.5,0.25,True,0.10823763284122136,4,20,zeta9-householder,17.33141827583313,False
1,2,0.039269908169872414,0.5,0.25,True,0.1057472742435251,4,19,zeta9-householder,16.791598320007324,False
1,3,0.05497787143782139,0.5,0.25,True,0.10438376010797917,4,20,zeta9-householder,17.693486213684082,False
1,4,0.07068583470577035,0.5,0.25,True,0.10419142445422873,4,19,zeta9-householder,16.985328435897827,False
1,5,0.08639379797371932,0.5,0.25,True,0.10517670441247857,4,19,zeta9-householder,16.63708758354187,False
1,6,0.10210176124166828,0.5,0.25,True,0.10730710746907791,4,20,zeta9-householder,16.779709100723267,False
1,7,0.11780972450961726,0.5,0.25,True,0.11051630419777123,4,20,zeta9-householder,17.140764236450195,False
1,8,0.13351768777756623,0.5,0.25,True,0.11471360238247416,4,20,zeta9-householder,16.88875675201416,False
1,9,0.1492256510455152,0.5,0.25,True,0.119794942436619,4,19,zeta9-householder,17.292107820510864,False
1,10,0.16493361431346415,0.5,0.25,True,0.1175402789472055,4,20,zeta9-householder,16.740906715393066,False
1,11,0.1806415775814131,0.5,0.25,True,0.11282049831710161,4,20,zeta9-householder,17.603581190109253,False
1,12,0.1963495408493621,0.5,0.25,True,0.1090298108788393,4,18,zeta9-householder,16.434288501739502,False
1,13,0.21205750411731106,0.5,0.25,True,0.10626793264644563,4,19,zeta9-householder,16.696548461914062,False
1,14,0.22776546738526002,0.5,0.25,True,0.10461655254252648,4,20,zeta9-householder,16.774619340896606,False
1,15,0.24347343065320898,0.5,0.25,True,0.10412862148710267,4,20,zeta9-householder,16.804011344909668,False
1,16,0.25918139392115797,0.5,0.25,True,0.1048204180133871,4,20,zeta9-householder,16.588923692703247,False
1,17,0.2748893571891069,0.5,0.25,True,0.10666894959844446,4,19,zeta9-householder,17.435351371765137,False
1,18,0.2905973204570559,0.5,0.25,True,0.10961560119477445,4,19,zeta9-householder,17.152826070785522,False
1,19,0.3063052837250049,0.5,0.25,True,0.1135747611508194,4,20,zeta9-householder,17.486592054367065,False
1,20,0.3220132469929538,0.5,0.25,True,0.11844471004011985,4,20,zeta9-householder,16.288978099822998,False
1,21,0.3377212102609028,0.5,0.25,True,0.12411800523851516,4,19,zeta9-householder,17.436665773391724,False
1,22,0.3534291735288518,0.5,0.25,True,0.12686961905907834,4,20,zeta9-householder,16.680122137069702,False
1,23,0.3691371367968007,0.5,0.25,True,0.12087336926931698,4,19,zeta9-householder,17.948822259902954,False
1,24,0.3848451000647497,0.5,0.25,True,0.11563309918099007,4,20,zeta9-householder,16.96089243888855,False
1,25,0.40055306333269863,0.5,0.25,True,0.11125602623082052,4,19,zeta9-householder,17.302990436553955,False
1,26,0.4162610266006476,0.5,0.25,True,0.10784758642478784,4,20,zeta9-householder,17.139458417892456,False
1,27,0.4319689898685966,0.5,0.25,True,0.10550192068095526,4,19,zeta9-householder,17.441242933273315,False
1,28,0.44767695313654554,0.5,0.25,True,0.10429091212437445,4,19,zeta9-householder,16.63053059577942,False
1,29,0.46338491640449453,0.5,0.25,True,0.10425418371660837,4,19,zeta9-householder,17.432881593704224,False
1,30,0.4790928796724435,0.5,0.25,True,0.10539296538144016,4,19,zeta9-householder,16.639955043792725,False
1,31,0.49480084294039245,0.5,0.25,True,0.10766989650507645,4,19,zeta9-householder,18.494210243225098,False
1,32,0.5105088062083414,0.5,0.25,True,0.11101483361203252,4,19,zeta9-householder,17.337989568710327,False
1,33,0.5262167694762904,0.5,0.25,True,0.11533469571568783,4,19,zeta9-householder,17.388012886047363,False
1,34,0.5419247327442394,0.5,0.25,True,0.12052444797612638,4,19,zeta9-householder,17.41611075401306,False
1,35,0.5576326960121883,0.5,0.25,True,0.11686924273830382,4,20,zeta9-householder,16.829346179962158,False
1,36,0.5733406592801373,0.5,0.25,True,0.11226578093756001,4,20,zeta9-householder,17.594154357910156,False
1,37,0.5890486225480862,0.5,0.25,True,0.10860518448466404,4,20,zeta9-householder,17.09043025970459,False
1,38,0.6047565858160352,0.5,0.25,True,0.10598542991278188,4,20,zeta9-householder,16.837228298187256,False
1,39,0.6204645490839842,0.5,0.25,True,0.10448500379314883,4,20,zeta9-householder,16.693028926849365,False
1,40,0.6361725123519332,0.5,0.25,True,0.10415238628213541,4,20,zeta9-householder,16.831907272338867,False
1,41,0.6518804756198822,0.5,0.25,True,0.1049986965934509,4,20,zeta9-householder,18.12881374359131,False
1,42,0.6675884388878311,0.5,0.25,True,0.10699591232017884,4,20,zeta9-householder,19.191792964935303,False
1,43,0.68329640215578,0.5,0.25,True,0.11008128974413411,4,20,zeta9-householder,18.739623308181763,False
